timestamp,product_id,price,volume_24h,volume_30d,best_bid,best_ask,side,time,trade_id,last_size
2025-09-13T09:27:45.271813,BTC-USD,116016.47,5040.30223777,154584.77529422,116016.46,116016.47,buy,2025-09-13T14:27:47.734873Z,873581924,2.19e-06
2025-09-13T09:27:48.281606,BTC-USD,116016.47,5040.30243873,154584.77549518,116016.46,116016.47,buy,2025-09-13T14:27:50.664154Z,873581925,0.00020096
2025-09-13T09:27:48.942974,BTC-USD,116016.47,5040.3024865,154584.77554295,116016.46,116016.47,buy,2025-09-13T14:27:51.598720Z,873581926,4.777e-05
2025-09-13T09:27:48.943117,BTC-USD,116016.47,5040.30248962,154584.77554607,116016.46,116016.47,buy,2025-09-13T14:27:51.598720Z,873581927,3.12e-06
2025-09-13T09:27:48.943221,BTC-USD,116016.47,5040.30249203,154584.77554848,116016.46,116016.47,buy,2025-09-13T14:27:51.598720Z,873581928,2.41e-06
2025-09-13T09:27:48.943339,BTC-USD,116016.47,5040.30250381,154584.77556026,116016.46,116016.47,buy,2025-09-13T14:27:51.598720Z,873581929,1.178e-05
2025-09-13T09:27:48.943476,BTC-USD,116016.47,5040.30298318,154584.77603963,116016.46,116016.47,buy,2025-09-13T14:27:51.598720Z,873581930,0.00047937
2025-09-13T09:27:48.943587,BTC-USD,116016.47,5040.30335108,154584.77640753,116016.46,116016.47,buy,2025-09-13T14:27:51.599121Z,873581931,0.0003679
2025-09-13T09:27:49.085061,BTC-USD,116016.46,5040.30342359,154584.77648004,116016.46,116016.47,sell,2025-09-13T14:27:51.743786Z,873581932,7.251e-05
2025-09-13T09:27:49.273008,BTC-USD,116016.47,5040.30493672,154584.77799317,116016.46,116016.47,buy,2025-09-13T14:27:51.926796Z,873581933,0.00151313
2025-09-13T09:27:49.273244,BTC-USD,116016.47,5040.30495426,154584.77801071,116016.46,116016.47,buy,2025-09-13T14:27:51.926796Z,873581934,1.754e-05
2025-09-13T09:27:49.273416,BTC-USD,116016.47,5040.30523415,154584.7782906,116016.46,116016.47,buy,2025-09-13T14:27:51.926796Z,873581935,0.00027989
2025-09-13T09:27:49.273877,BTC-USD,116016.47,5040.30523728,154584.77829373,116016.46,116016.47,buy,2025-09-13T14:27:51.926796Z,873581936,3.13e-06
