symbol,strategy,model_branch,signals_evaluated,signals_generated,executable_intents,blocked_intents,avg_signal_strength,avg_expected_return,avg_fee_adjusted_expected_return,realized_pnl,average_win,average_loss,expectancy,profit_factor,drawdown,closing_legs,blocked_intent_rate_pct,intent_conversion_rate_pct,winners,losers
SAPIEN-USD,ml_enhanced_orderbook,unknown,39,22,0,22,0.3745251426,0.3033414969,0.2850456942,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SD-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.6528856395,0.5032864213,0.4818631103,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SEI-USD,ml_enhanced_orderbook,unknown,39,19,0,19,0.2129665763,0.2046265892,0.1854611995,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SENT-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.4962874124,0.4628319373,0.4380604166,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SHDW-USD,ml_enhanced_orderbook,unknown,39,38,0,38,0.6498321784,-0.4878277351,0.4624649711,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SHIB-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.1223090516,,,0.0,,,,,0.0,0,,,0,0
SHPING-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.4822642345,0.4756719959,0.2768789887,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SIGN-USD,ml_enhanced_orderbook,unknown,39,7,0,7,0.1426296146,0.1485199870,0.1180429493,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SKL-USD,ml_enhanced_orderbook,unknown,39,2,0,2,0.0855595537,0.0971166641,0.0535788185,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SKR-USD,ml_enhanced_orderbook,unknown,39,30,0,30,0.4846156853,0.4296337155,0.3997356733,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SKY-USD,ml_enhanced_orderbook,unknown,39,9,0,9,0.1526782832,-0.1765619407,0.1580187371,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SNX-USD,ml_enhanced_orderbook,unknown,39,8,0,8,0.1256774255,-0.1365037765,0.2003910520,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SOL-USD,ml_enhanced_orderbook,unknown,39,34,0,34,0.3723792992,-0.2223408192,0.2052290600,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SPA-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.8812779203,-0.6194743369,0.5564272662,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SPELL-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0667182770,,,0.0,,,,,0.0,0,,,0,0
SPK-USD,ml_enhanced_orderbook,unknown,39,15,0,15,0.1786469086,0.1260846744,0.1034726684,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SPX-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.6126790261,0.6274754172,0.6089341001,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SQD-USD,ml_enhanced_orderbook,unknown,39,11,0,11,0.1935432025,0.3280799006,0.3215072470,0.0,,,,,0.0,0,100.000000,0.000000,0,0
STG-USD,ml_enhanced_orderbook,unknown,39,13,0,13,0.1194788802,-0.1926648640,0.1794211202,0.0,,,,,0.0,0,100.000000,0.000000,0,0
STORJ-USD,ml_enhanced_orderbook,unknown,39,29,0,29,0.3014190702,0.3210466838,0.3011159594,0.0,,,,,0.0,0,100.000000,0.000000,0,0
STRK-USD,ml_enhanced_orderbook,unknown,38,33,0,33,0.4435752371,0.3051697358,0.2844370307,0.0,,,,,0.0,0,100.000000,0.000000,0,0
STX-USD,ml_enhanced_orderbook,unknown,39,1,0,1,0.0852016986,-0.0840622261,0.0661280832,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SUI-USD,ml_enhanced_orderbook,unknown,39,3,0,3,0.1029010453,-0.0092625332,0.0425233614,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SUKU-USD,ml_enhanced_orderbook,unknown,39,4,0,4,0.1442665984,0.2201611158,0.1811613357,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SUP-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.6592975870,0.5512279631,0.5166971136,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SUPER-USD,ml_enhanced_orderbook,unknown,39,1,0,1,0.1226592829,-0.0982861519,0.0789141620,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SUSHI-USD,ml_enhanced_orderbook,unknown,39,19,0,19,0.2238282061,0.1767957767,0.1587973423,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SWELL-USD,ml_enhanced_orderbook,unknown,39,34,0,34,0.2866248458,0.2485100364,0.0740297214,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SWFTC-USD,ml_enhanced_orderbook,unknown,39,14,0,14,0.2877432039,-0.6874091625,0.6308168559,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SXT-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.1232599317,,,0.0,,,,,0.0,0,,,0,0
SYND-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.6774921249,-0.5993578541,0.5685895361,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SYRUP-USD,ml_enhanced_orderbook,unknown,39,16,0,16,0.2064048342,-0.1784530422,0.1608292251,0.0,,,,,0.0,0,100.000000,0.000000,0,0
T-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.4500325383,0.3999313819,0.3560160145,0.0,,,,,0.0,0,100.000000,0.000000,0,0
TAO-USD,ml_enhanced_orderbook,unknown,39,15,0,15,0.2208197928,-0.2734105498,0.2972978302,0.0,,,,,0.0,0,100.000000,0.000000,0,0
THQ-USD,ml_enhanced_orderbook,unknown,39,1,0,1,0.1117382278,-0.1106105372,0.0840274035,0.0,,,,,0.0,0,100.000000,0.000000,0,0
TIA-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.5600048991,0.4728049514,0.4554633917,0.0,,,,,0.0,0,100.000000,0.000000,0,0
TNSR-USD,ml_enhanced_orderbook,unknown,39,10,0,10,0.1433535170,-0.2631958820,0.2432305087,0.0,,,,,0.0,0,100.000000,0.000000,0,0
TON-USD,ml_enhanced_orderbook,unknown,39,7,0,7,0.1295896162,0.1499115622,0.1321208930,0.0,,,,,0.0,0,100.000000,0.000000,0,0
TOSHI-USD,ml_enhanced_orderbook,unknown,39,19,0,19,0.4671693093,-0.8882442807,0.0464294702,0.0,,,,,0.0,0,100.000000,0.000000,0,0
TOWNS-USD,ml_enhanced_orderbook,unknown,39,7,0,7,0.1681360609,0.2785184618,0.2195894395,0.0,,,,,0.0,0,100.000000,0.000000,0,0
TRAC-USD,ml_enhanced_orderbook,unknown,39,6,0,6,0.1270353258,-0.1170333590,0.2763345417,0.0,,,,,0.0,0,100.000000,0.000000,0,0
TRB-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.4822477202,0.3976177245,0.3790887505,0.0,,,,,0.0,0,100.000000,0.000000,0,0
TREE-USD,ml_enhanced_orderbook,unknown,39,23,0,23,0.2817646937,-0.2783987807,0.3167992805,0.0,,,,,0.0,0,100.000000,0.000000,0,0
TRIA-USD,ml_enhanced_orderbook,unknown,39,7,0,7,0.1386434990,0.2992074277,0.2677851047,0.0,,,,,0.0,0,100.000000,0.000000,0,0
TROLL-USD,ml_enhanced_orderbook,unknown,39,1,0,1,0.0803868651,0.1450979859,0.1077843722,0.0,,,,,0.0,0,100.000000,0.000000,0,0
TRUMP-USD,ml_enhanced_orderbook,unknown,39,11,0,11,0.1578221675,-0.0445213254,0.1672299595,0.0,,,,,0.0,0,100.000000,0.000000,0,0
TRUST-USD,ml_enhanced_orderbook,unknown,39,15,0,15,0.1996228588,0.2444379464,0.2249113326,0.0,,,,,0.0,0,100.000000,0.000000,0,0
TURBO-USD,ml_enhanced_orderbook,unknown,39,2,0,2,0.1164418786,-0.4883668721,0.3649553729,0.0,,,,,0.0,0,100.000000,0.000000,0,0
UMA-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0473427710,,,0.0,,,,,0.0,0,,,0,0
UNI-USD,ml_enhanced_orderbook,unknown,39,14,0,14,0.2333275804,-0.3972947188,0.4865923037,0.0,,,,,0.0,0,100.000000,0.000000,0,0
UP-USD,ml_enhanced_orderbook,unknown,39,1,0,1,0.0954521067,0.3666465282,0.3477943334,0.0,,,,,0.0,0,100.000000,0.000000,0,0
USD1-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0170671408,,,0.0,,,,,0.0,0,,,0,0
USDS-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.4028135347,-0.3430473318,0.3258473118,0.0,,,,,0.0,0,100.000000,0.000000,0,0
USDT-USD,ml_enhanced_orderbook,unknown,39,28,0,28,0.5092758704,-0.7073515696,0.6902515458,0.0,,,,,0.0,0,100.000000,0.000000,0,0
USELESS-USD,ml_enhanced_orderbook,unknown,39,8,0,8,0.1656563757,0.1162232761,0.0976774974,0.0,,,,,0.0,0,100.000000,0.000000,0,0
VARA-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0666745068,,,0.0,,,,,0.0,0,,,0,0
VELO-USD,ml_enhanced_orderbook,unknown,39,1,0,1,0.0536336553,-0.0357573442,0.0135340483,0.0,,,,,0.0,0,100.000000,0.000000,0,0
VET-USD,ml_enhanced_orderbook,unknown,39,30,0,30,0.4395963684,-0.3783014427,0.3432518151,0.0,,,,,0.0,0,100.000000,0.000000,0,0
VIRTUAL-USD,ml_enhanced_orderbook,unknown,39,6,0,6,0.1351391171,-0.1811632061,0.1633061538,0.0,,,,,0.0,0,100.000000,0.000000,0,0
VOXEL-USD,ml_enhanced_orderbook,unknown,39,14,0,14,0.2423168211,-0.0501749845,0.1940715037,0.0,,,,,0.0,0,100.000000,0.000000,0,0
VTHO-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0726640868,,,0.0,,,,,0.0,0,,,0,0
VVV-USD,ml_enhanced_orderbook,unknown,39,10,0,10,0.1874271316,0.2235138725,0.2168424694,0.0,,,,,0.0,0,100.000000,0.000000,0,0
W-USD,ml_enhanced_orderbook,unknown,39,34,0,34,0.2675836938,0.2084503148,0.1804631034,0.0,,,,,0.0,0,100.000000,0.000000,0,0
WAL-USD,ml_enhanced_orderbook,unknown,39,4,0,4,0.0977023367,-0.0083895754,0.0643246232,0.0,,,,,0.0,0,100.000000,0.000000,0,0
WAXL-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.9899751284,0.8445337552,0.8082627831,0.0,,,,,0.0,0,100.000000,0.000000,0,0
WCT-USD,ml_enhanced_orderbook,unknown,39,35,0,35,0.2464661805,0.1918590473,0.1717133277,0.0,,,,,0.0,0,100.000000,0.000000,0,0
WELL-USD,ml_enhanced_orderbook,unknown,39,25,0,25,0.2481218456,0.1821180215,0.1378155951,0.0,,,,,0.0,0,100.000000,0.000000,0,0
WET-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.1186369170,,,0.0,,,,,0.0,0,,,0,0
WIF-USD,ml_enhanced_orderbook,unknown,39,19,0,19,0.2373977456,0.2554403425,0.2403627095,0.0,,,,,0.0,0,100.000000,0.000000,0,0
WLD-USD,ml_enhanced_orderbook,unknown,39,20,0,20,0.2844096114,0.1516554733,0.1957415414,0.0,,,,,0.0,0,100.000000,0.000000,0,0
WLFI-USD,ml_enhanced_orderbook,unknown,39,20,0,20,0.2568479375,-0.2208139394,0.2020690826,0.0,,,,,0.0,0,100.000000,0.000000,0,0
WMTX-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0503655659,,,0.0,,,,,0.0,0,,,0,0
WRON-USD,ml_enhanced_orderbook,unknown,39,24,0,24,0.3265425320,0.4355638654,0.4167662291,0.0,,,,,0.0,0,100.000000,0.000000,0,0
XAN-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0913887958,,,0.0,,,,,0.0,0,,,0,0
XCN-USD,ml_enhanced_orderbook,unknown,39,37,0,37,0.3511094860,-0.3138057430,0.2694079171,0.0,,,,,0.0,0,100.000000,0.000000,0,0
XLM-USD,ml_enhanced_orderbook,unknown,39,13,0,13,0.1971328674,-0.1542122977,0.2348768066,0.0,,,,,0.0,0,100.000000,0.000000,0,0
XPL-USD,ml_enhanced_orderbook,unknown,39,9,0,9,0.1775440185,0.2907092515,0.2789726451,0.0,,,,,0.0,0,100.000000,0.000000,0,0
XRP-USD,ml_enhanced_orderbook,unknown,39,6,0,6,0.1078447620,-0.1951785448,0.1780208938,0.0,,,,,0.0,0,100.000000,0.000000,0,0
XTZ-USD,ml_enhanced_orderbook,unknown,39,9,0,9,0.1250884605,-0.1204023527,0.1024802853,0.0,,,,,0.0,0,100.000000,0.000000,0,0
XYO-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.3802263057,0.2930215960,0.2444808857,0.0,,,,,0.0,0,100.000000,0.000000,0,0
YB-USD,ml_enhanced_orderbook,unknown,39,21,0,21,0.2149286545,-0.1885101401,0.1673638405,0.0,,,,,0.0,0,100.000000,0.000000,0,0
YFI-USD,ml_enhanced_orderbook,unknown,39,36,0,36,0.4645795368,-0.5086574803,0.4895529692,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ZAMA-USD,ml_enhanced_orderbook,unknown,39,17,0,17,0.2734070201,0.2203891422,0.4231485372,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ZEC-USD,ml_enhanced_orderbook,unknown,39,9,0,9,0.1557378036,0.0802039570,0.2800566990,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ZEN-USD,ml_enhanced_orderbook,unknown,39,14,0,14,0.2305355122,0.1460685826,0.4796496808,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ZETA-USD,ml_enhanced_orderbook,unknown,39,19,0,19,0.2439284107,0.2456511894,0.2243707344,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ZETACHAIN-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0620595666,,,0.0,,,,,0.0,0,,,0,0
ZK-USD,ml_enhanced_orderbook,unknown,38,0,0,0,0.0960874585,,,0.0,,,,,0.0,0,,,0,0
ZKC-USD,ml_enhanced_orderbook,unknown,39,1,0,1,0.0827206564,-0.0429375954,0.0209748162,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ZKP-USD,ml_enhanced_orderbook,unknown,39,17,0,17,0.2244772410,0.2217076193,0.2011614240,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ZORA-USD,ml_enhanced_orderbook,unknown,39,17,0,17,0.2496788696,0.4283004990,0.3949203606,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ZRO-USD,ml_enhanced_orderbook,unknown,39,12,0,12,0.2588176153,-0.1533291945,0.3424798179,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ZRX-USD,ml_enhanced_orderbook,unknown,39,5,0,5,0.1508955497,-0.1528242983,0.1921381516,0.0,,,,,0.0,0,100.000000,0.000000,0,0
