symbol,strategy,model_branch,signals_evaluated,signals_generated,executable_intents,blocked_intents,avg_signal_strength,avg_expected_return,avg_fee_adjusted_expected_return,realized_pnl,average_win,average_loss,expectancy,profit_factor,drawdown,closing_legs,blocked_intent_rate_pct,intent_conversion_rate_pct,winners,losers
JTO-USD,ml_enhanced_orderbook,unknown,39,13,0,13,0.1640810920,-0.0682541030,0.1775143655,0.0,,,,,0.0,0,100.000000,0.000000,0,0
JUPITER-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0782926212,,,0.0,,,,,0.0,0,,,0,0
KAIO-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0432492116,,,0.0,,,,,0.0,0,,,0,0
KAITO-USD,ml_enhanced_orderbook,unknown,39,13,0,13,0.1654215834,0.0374868489,0.4292436077,0.0,,,,,0.0,0,100.000000,0.000000,0,0
KARRAT-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0474829328,,,0.0,,,,,0.0,0,,,0,0
KAT-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0576387161,,,0.0,,,,,0.0,0,,,0,0
KAVA-USD,ml_enhanced_orderbook,unknown,39,35,0,35,0.8146297156,0.7650226559,0.7455633479,0.0,,,,,0.0,0,100.000000,0.000000,0,0
KERNEL-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0550567144,,,0.0,,,,,0.0,0,,,0,0
KEYCAT-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0568400623,,,0.0,,,,,0.0,0,,,0,0
KITE-USD,ml_enhanced_orderbook,unknown,39,15,0,15,0.2211480462,-0.4096436344,0.4384625484,0.0,,,,,0.0,0,100.000000,0.000000,0,0
KMNO-USD,ml_enhanced_orderbook,unknown,39,6,0,6,0.1165377467,0.2451626224,0.2240782102,0.0,,,,,0.0,0,100.000000,0.000000,0,0
KNC-USD,ml_enhanced_orderbook,unknown,39,6,0,6,0.1442070738,0.1639949922,0.1434995032,0.0,,,,,0.0,0,100.000000,0.000000,0,0
KRL-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0098437141,,,0.0,,,,,0.0,0,,,0,0
KSM-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0587740099,,,0.0,,,,,0.0,0,,,0,0
KTA-USD,ml_enhanced_orderbook,unknown,39,26,0,26,0.2658368394,0.2096608245,0.1861554309,0.0,,,,,0.0,0,100.000000,0.000000,0,0
L3-USD,ml_enhanced_orderbook,unknown,39,9,0,9,0.1730342048,0.1438297282,0.1028454760,0.0,,,,,0.0,0,100.000000,0.000000,0,0
LA-USD,ml_enhanced_orderbook,unknown,39,10,0,10,0.1673345985,-0.2815225154,0.2703589234,0.0,,,,,0.0,0,100.000000,0.000000,0,0
LAYER-USD,ml_enhanced_orderbook,unknown,39,35,0,35,0.2494936925,-0.2298618972,0.2104125326,0.0,,,,,0.0,0,100.000000,0.000000,0,0
LCX-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.5863242073,0.4081697487,0.3790732166,0.0,,,,,0.0,0,100.000000,0.000000,0,0
LDO-USD,ml_enhanced_orderbook,unknown,39,1,0,1,0.0768619325,0.5325329304,0.5147824822,0.0,,,,,0.0,0,100.000000,0.000000,0,0
LIGHTER-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.5796624101,0.3890532209,0.3713008106,0.0,,,,,0.0,0,100.000000,0.000000,0,0
LINEA-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.3747141522,0.3081604796,0.2495440862,0.0,,,,,0.0,0,100.000000,0.000000,0,0
LINK-USD,ml_enhanced_orderbook,unknown,39,2,0,2,0.0872573225,0.0872613126,0.0949038570,0.0,,,,,0.0,0,100.000000,0.000000,0,0
LMTS-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.4715624601,0.2860595095,0.2672179659,0.0,,,,,0.0,0,100.000000,0.000000,0,0
LPT-USD,ml_enhanced_orderbook,unknown,39,17,0,17,0.2148497185,0.2017076147,0.1773465296,0.0,,,,,0.0,0,100.000000,0.000000,0,0
LQTY-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0282511076,,,0.0,,,,,0.0,0,,,0,0
LRDS-USD,ml_enhanced_orderbook,unknown,39,4,0,4,0.1461929231,0.0946411584,0.0593687994,0.0,,,,,0.0,0,100.000000,0.000000,0,0
LSETH-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.3360180274,0.2714820678,0.2435457921,0.0,,,,,0.0,0,100.000000,0.000000,0,0
LTC-USD,ml_enhanced_orderbook,unknown,39,11,0,11,0.1731169843,0.1887281127,0.1782379647,0.0,,,,,0.0,0,100.000000,0.000000,0,0
MAGIC-USD,ml_enhanced_orderbook,unknown,39,2,0,2,0.0817750641,0.0730463415,0.1196972720,0.0,,,,,0.0,0,100.000000,0.000000,0,0
MAMO-USD,ml_enhanced_orderbook,unknown,39,38,0,38,0.4987291331,-0.4340687451,0.4066362061,0.0,,,,,0.0,0,100.000000,0.000000,0,0
MANA-USD,ml_enhanced_orderbook,unknown,39,1,0,1,0.0818773568,0.0346341357,0.0149314330,0.0,,,,,0.0,0,100.000000,0.000000,0,0
MANTLE-USD,ml_enhanced_orderbook,unknown,39,10,0,10,0.2320807583,-0.1498364203,0.1320451868,0.0,,,,,0.0,0,100.000000,0.000000,0,0
MASK-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.1282678972,,,0.0,,,,,0.0,0,,,0,0
MATH-USD,ml_enhanced_orderbook,unknown,39,3,0,3,0.0960074933,0.1040944743,0.0718234165,0.0,,,,,0.0,0,100.000000,0.000000,0,0
MDT-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.5775670761,0.5019831795,0.4522098597,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ME-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.1493305646,,,0.0,,,,,0.0,0,,,0,0
MEGA-USD,ml_enhanced_orderbook,unknown,39,36,0,36,0.5836393508,0.6166494100,0.5971446426,0.0,,,,,0.0,0,100.000000,0.000000,0,0
MET-USD,ml_enhanced_orderbook,unknown,39,32,0,32,0.3003637855,-0.2892166625,0.2707325940,0.0,,,,,0.0,0,100.000000,0.000000,0,0
META-USD,ml_enhanced_orderbook,unknown,39,2,0,2,0.0678855141,-0.2377650887,0.2109394457,0.0,,,,,0.0,0,100.000000,0.000000,0,0
METIS-USD,ml_enhanced_orderbook,unknown,39,32,0,32,0.3380123587,0.2505322387,0.2296621391,0.0,,,,,0.0,0,100.000000,0.000000,0,0
MEZO-USD,ml_enhanced_orderbook,unknown,39,11,0,11,0.1598510544,0.4479582208,0.4171967691,0.0,,,,,0.0,0,100.000000,0.000000,0,0
MINA-USD,ml_enhanced_orderbook,unknown,39,1,0,1,0.0770301396,-0.0367254727,0.0159801543,0.0,,,,,0.0,0,100.000000,0.000000,0,0
MLN-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.5282470209,0.4588787579,0.4293584968,0.0,,,,,0.0,0,100.000000,0.000000,0,0
MNDE-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.1001163404,,,0.0,,,,,0.0,0,,,0,0
MOG-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0000000000,,,0.0,,,,,0.0,0,,,0,0
MON-USD,ml_enhanced_orderbook,unknown,39,4,0,4,0.0932088794,0.1039105579,0.1486138979,0.0,,,,,0.0,0,100.000000,0.000000,0,0
MOODENG-USD,ml_enhanced_orderbook,unknown,39,3,0,3,0.1382924110,0.3259300080,0.3066322986,0.0,,,,,0.0,0,100.000000,0.000000,0,0
MORPHO-USD,ml_enhanced_orderbook,unknown,39,21,0,21,0.3131661192,-0.4573168673,0.4395702781,0.0,,,,,0.0,0,100.000000,0.000000,0,0
MPLX-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0933932760,,,0.0,,,,,0.0,0,,,0,0
MSOL-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0540253633,,,0.0,,,,,0.0,0,,,0,0
NCT-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.2527651271,0.2506765605,0.2122920321,0.0,,,,,0.0,0,100.000000,0.000000,0,0
NEAR-USD,ml_enhanced_orderbook,unknown,39,6,0,6,0.1077995685,0.1156071443,0.2206413410,0.0,,,,,0.0,0,100.000000,0.000000,0,0
NEON-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.4942678939,0.4057977505,0.3689288281,0.0,,,,,0.0,0,100.000000,0.000000,0,0
NEWT-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0759968486,,,0.0,,,,,0.0,0,,,0,0
NEX-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.1042560771,,,0.0,,,,,0.0,0,,,0,0
NKN-USD,ml_enhanced_orderbook,unknown,39,27,0,27,0.4870636822,-0.5417405058,0.5078175077,0.0,,,,,0.0,0,100.000000,0.000000,0,0
NMR-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0000000000,,,0.0,,,,,0.0,0,,,0,0
NOICE-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0331169107,,,0.0,,,,,0.0,0,,,0,0
NOM-USD,ml_enhanced_orderbook,unknown,39,14,0,14,0.2126310341,0.2407524266,0.2053167358,0.0,,,,,0.0,0,100.000000,0.000000,0,0
O-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0441806301,,,0.0,,,,,0.0,0,,,0,0
OCEAN-USD,ml_enhanced_orderbook,unknown,39,23,0,23,0.2941971284,-0.1486632024,0.2088395009,0.0,,,,,0.0,0,100.000000,0.000000,0,0
OGN-USD,ml_enhanced_orderbook,unknown,39,6,0,6,0.1434008885,0.1936828941,0.1710490073,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ONDO-USD,ml_enhanced_orderbook,unknown,39,10,0,10,0.1509818894,-0.0764252223,0.3555853125,0.0,,,,,0.0,0,100.000000,0.000000,0,0
OP-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0881311048,,,0.0,,,,,0.0,0,,,0,0
OPG-USD,ml_enhanced_orderbook,unknown,39,21,0,21,0.3425229632,-0.4310674078,0.4120257035,0.0,,,,,0.0,0,100.000000,0.000000,0,0
